Reference,Quantity,Value,Footprint,Datasheet, MFG Part#, Description
"R13 R14 R148 R149 R150 R151 R19 R20 R21 R22 R32 R33 R34 R35 R58 R59 R60 ","17","R_100R","ScopefunPackagesLibrary:R_0603","http://industrial.panasonic.com/cdbs/www-data/pdf/AOA0000/AOA0000CE2.pdf","ERJ-3EKF1000V","RES SMD 1% 1/10W 0603"
"R102 R128 R15 R17 R99 ","5","R_49.9k","ScopefunPackagesLibrary:R_0603","http://industrial.panasonic.com/cdbs/www-data/pdf/AOA0000/AOA0000CE2.pdf","ERJ-3EKF4992V","RES SMD 1% 1/10W 0603"
"R180 R2 R23 R24 R25 R26 R3 R85 R86 R87 R88 ","11","R_240R","ScopefunPackagesLibrary:R_0603","http://industrial.panasonic.com/cdbs/www-data/pdf/AOA0000/AOA0000CE2.pdf","ERJ-3EKF2400V","RES SMD 1% 1/10W 0603"
"R27 R28 R29 R30 ","4","R_402R","ScopefunPackagesLibrary:R_0603","http://industrial.panasonic.com/cdbs/www-data/pdf/AOA0000/AOA0000CE2.pdf","ERJ-3EKF4020V","RES SMD 1% 1/10W 0603"
"R31 R91 R92 ","3","R_499R","ScopefunPackagesLibrary:R_0603","http://industrial.panasonic.com/cdbs/www-data/pdf/AOA0000/AOA0000CE2.pdf","ERJ-3EKF4990V","RES SMD 1% 1/10W 0603"
"R165 R168 R170 R36 R37 ","5","R_6.8k","ScopefunPackagesLibrary:R_0603","http://industrial.panasonic.com/cdbs/www-data/pdf/AOA0000/AOA0000CE2.pdf","ERJ-3EKF6801V","RES SMD 1% 1/10W 0603"
"R105 R110 R113 R114 R117 R121 R122 R124 R38 R41 R97 R98 ","12","R_10k","ScopefunPackagesLibrary:R_0603","http://industrial.panasonic.com/cdbs/www-data/pdf/AOA0000/AOA0000CE2.pdf","ERJ-3EKF1002V","RES SMD 1% 1/10W 0603"
"R115 R130 R131 R135 R137 R138 R39 R68 ","8","R_2.2k","ScopefunPackagesLibrary:R_0603","http://industrial.panasonic.com/cdbs/www-data/pdf/AOA0000/AOA0000CE2.pdf","ERJ-3EKF2201V","RES SMD 1% 1/10W 0603"
"R181 R183 R184 R40 R42 R43 R45 R46 R47 R48 R49 R50 R51 R52 R53 R54 R55 R56 ","18","R_100","ScopefunPackagesLibrary:R_0402","https://industrial.panasonic.com/ww/products/resistors/chip-resistors/chip-resistors/precision-thick-film-chip-resistors/ERJ3EKF1000V","ERJ-2RKF1000X","RES SMD 1% 1/10W 0402"
"R129 R136 R142 R143 R145 R153 R187 R188 R189 R190 R191 R192 R193 R194 R195 R196 R197 R198 R4 R5 ","20","R_56R","ScopefunPackagesLibrary:R_0603","http://industrial.panasonic.com/cdbs/www-data/pdf/AOA0000/AOA0000CE2.pdf","ERJ-3EKF56R0V","RES SMD 1% 1/10W 0603"
